It works
 0.330 0.00000
------------------
 4.900 4.29847 
 5.100 4.42127 
 5.300 4.54401 
 5.500 4.66667 
 5.700 4.78922 
 5.900 4.91159 
 6.100 5.03372 
 6.300 5.15546 
 6.500 5.27662 
 6.700 5.39689 
 6.900 5.51580 
 7.100 5.63274 
 7.300 5.74686 
 7.500 5.85717 
 7.700 5.96240 
 7.900 6.05996 
 8.100 6.14201 
 8.300 6.20500 
 8.500 6.28007 
 8.700 6.37119 
 8.900 6.47007 
 9.100 6.57514 
 9.300 6.68438 
 9.500 6.79567 
 9.700 6.90778 
 9.900 7.02018 
10.100 7.13266 
10.300 7.24518 
10.500 7.35770 
10.700 7.47022 
10.900 7.58274 
11.100 7.69525 
11.300 7.80776 
11.500 7.92027 
11.700 8.03278 
11.900 8.14529 
